major_code,major_name,sub_code,sub_name,detail_code,detail_name,unit_price,person
01,映像企画関連費,10,企画関連制作管理,PPM,Ｐ／ＰＭ,80000,浅生鴨
01,映像企画関連費,50,アートディレクター費,AD,アートディレクター,70000,上田豪
03,映像制作人件費,10,プロデューサー費,PD,プロデューサー費,90000,（仮）プロデューサー
03,映像制作人件費,31,撮影助手費（1st）,CAM_AST_1,撮影助手費（1st）,50000,撮影助手1st
03,映像制作人件費,31,撮影助手費（2nd）,CAM_AST_2,撮影助手費（2nd）,40000,撮影助手2nd
05,撮影機材費・クレーン費,10,DIGITAL CINEMA CAMERA,DCC_A,DIGITAL CINEMA CAMERA Aセット,120000,
05,撮影機材費・クレーン費,50,撮影用クレーン,CRANE,撮影用クレーン Crane,150000,
05,撮影機材費・クレーン費,50,撮影用クレーン,REMOTEHEAD,撮影用クレーン RemoteHead,130000,
05,撮影機材費・クレーン費,50,撮影用クレーン,DOLLY,撮影用クレーン Dolly,110000,
05,撮影機材費・クレーン費,50,撮影用クレーン,TRACK,撮影用クレーン Track,100000,
